,Species,GA_original,species,GA,size,gc,genes
1562,Psittacidae parvo-like hybrid virus,,Psittacidae parvo-like hybrid virus,,,,
1563,Psittacidae parvoviridae sp.,,Psittacidae parvoviridae sp.,,,,
1564,Psittaciform aveparvovirus,,Psittaciform aveparvovirus,,,,
1565,Psittaciform chaphamaparvovirus 3,,Psittaciform chaphamaparvovirus 3,GCA_031311285.1,4277.0,43.0,
1566,Psittaciform chaphamaparvovirus 4,,Psittaciform chaphamaparvovirus 4,,,,
1567,Psittaciform chaphamaparvovirus 5,,Psittaciform chaphamaparvovirus 5,,,,
1568,Psittaciform chaphamaparvovirus 6,,Psittaciform chaphamaparvovirus 6,,,,
1569,Psittaciform parvoviridae sp.,,Psittaciform parvoviridae sp.,,,,
1570,Psittacine adenovirus 12,,Psittacine adenovirus 12,,,,
1571,Psittacine adenovirus 2,,Psittacine adenovirus 2,GCA_020842125.1,25616.0,37.0,
1572,Psittacine atadenovirus A,GCF_000929035.1,Psittacine atadenovirus A,GCF_000929035.1,31735.0,53.5,29.0
1573,Psittacine aviadenovirus B,GCF_003032855.1,Psittacine aviadenovirus B,GCF_003032855.1,40930.0,52.0,42.0
1574,Psittacine aviadenovirus C,GCF_006425375.1,Psittacine aviadenovirus C,GCF_006425375.1,38694.0,51.5,55.0
1575,Psittacine chaphamaparvovirus 2,,Psittacine chaphamaparvovirus 2,GCA_031308385.1,4312.0,41.5,
1576,Psittacine orthoreovirus AGPReo1983,0,Psittacine orthoreovirus AGPReo1983,,,,
1577,Psittacine picornavirus,,Psittacine picornavirus,,,,
1578,Psittacine siadenovirus 1,0,Psittacine siadenovirus 1,GCA_031201985.1,27162.0,37.0,
1579,Psittacine siadenovirus D,GCF_018586905.1,Psittacine siadenovirus D,GCF_018586905.1,27163.0,37.0,21.0
1580,Psittacine siadenovirus E,GCF_018584825.1,Psittacine siadenovirus E,GCF_018584825.1,27209.0,37.5,24.0
1581,Psittacine siadenovirus F,,Psittacine siadenovirus F,GCA_031268895.1,25392.0,37.0,
1582,Ptolmey virus,0,Ptolmey virus,,,,
1583,Puffin papillomavirus 1,0,Puffin papillomavirus 1,GCA_031189375.1,7703.0,56.5,7.0
1584,Purple grenadier circovirus,,Purple grenadier circovirus,,,,
1585,Pygoscepivirus A,0,Pygoscepivirus A,,,,
1586,Quail coronavirus Italy/Elvia/2005,0,Quail coronavirus Italy/Elvia/2005,,,,
1587,Quail coronavirus UAE-HKU30,0,Quail coronavirus UAE-HKU30,GCA_031171235.1,25874.0,42.5,9.0
1588,Quail deltacoronavirus,0,Quail deltacoronavirus,GCA_031174035.1,25881.0,42.0,
1589,Quail picornavirus QPV1/HUN/2010,GCF_000895635.1,Quail picornavirus QPV1/HUN/2010,GCF_000895635.1,8159.0,45.5,1.0
1590,Quailpox virus,GCF_002829285.1,Quailpox virus,GCF_002829285.1,581.0,33.5,1.0
1591,Quang Binh virus,,Quang Binh virus,GCA_031123885.1,10891.0,52.0,
1592,Quaranjavirus chadense,GCF_016848445.1,Quaranjavirus chadense,GCF_016848445.1,11987.0,46.5,7.0
1593,Quaranjavirus wellfleetense,GCF_000927955.1,Quaranjavirus wellfleetense,GCF_000927955.1,11958.0,43.5,7.0
1594,RNA virus hoopoe/BBanka01/2015/HUN,0,RNA virus hoopoe/BBanka01/2015/HUN,GCA_031199605.1,7052.0,36.0,
1595,RNA virus sp.,0,RNA virus sp.,,,,
1596,Raina virus,0,Raina virus,,,,
1597,Raptor adenovirus,,Raptor adenovirus,,,,
1598,Raptor siadenovirus A,GCF_000893535.1,Raptor siadenovirus A,GCF_000893535.1,26284.0,38.5,23.0
1599,Red-billed gull papillomavirus,,Red-billed gull papillomavirus,,,,
1600,Red-capped plover megrivirus,0,Red-capped plover megrivirus,,,,
1601,Red-fronted serin circovirus,,Red-fronted serin circovirus,,,,
1602,Red-necked stint Picornavirus B-like,0,Red-necked stint Picornavirus B-like,,,,
1603,Red-necked stint avastrovirus,0,Red-necked stint avastrovirus,,,,
1604,Red-necked stint gallivirus,0,Red-necked stint gallivirus,,,,
1605,Reoviridae sp.,,Reoviridae sp.,GCA_031191825.1,4297.0,43.5,
1606,Reovirus sp.,0,Reovirus sp.,,,,
1607,Reticuloendotheliosis virus,GCF_000858025.1,Reticuloendotheliosis virus,GCF_000858025.1,8295.0,52.5,3.0
1608,Retroviridae sp.,,Retroviridae sp.,,,,
1609,Rhabdoviridae sp.,GCF_029886045.1,Rhabdoviridae sp.,GCF_029886045.1,12485.0,41.5,6.0
1610,Riboviria sp.,,Riboviria sp.,,,,
1611,Riiser virus,0,Riiser virus,,,,
1612,Rockhopper penguin papillomavirus,,Rockhopper penguin papillomavirus,,,,
1613,Ross River virus,0,Ross River virus,GCF_002889255.1,11948.0,51.0,2.0
1614,Ross virus,0,Ross virus,,,,
1615,Rotavirus A,,Rotavirus A,GCF_000880735.1,18562.0,33.5,12.0
1616,Rotavirus D,GCF_000890155.1,Rotavirus D,GCF_000890155.1,18500.0,33.0,12.0
1617,Rotavirus F,GCF_000910335.1,Rotavirus F,GCF_000910335.1,18341.0,34.5,11.0
1618,Rotavirus G,GCF_001343825.1,Rotavirus G,GCF_001343825.1,18186.0,35.0,12.0
1619,Rotavirus sp.,,Rotavirus sp.,,,,
1620,Rotavirus turkey/MN/D-000818/2008,0,Rotavirus turkey/MN/D-000818/2008,,,,
1621,Rotavirus turkey/MN/D-004782/2008,0,Rotavirus turkey/MN/D-004782/2008,,,,
1622,Rotavirus turkey/MN/D-005329/2008,0,Rotavirus turkey/MN/D-005329/2008,,,,
1623,Rotavirus turkey/MN/D-005331/2008,0,Rotavirus turkey/MN/D-005331/2008,,,,
1624,Rotavirus turkey/MN/D-007553/2007,0,Rotavirus turkey/MN/D-007553/2007,,,,
1625,Rotavirus turkey/MN/D-007554/2007,0,Rotavirus turkey/MN/D-007554/2007,,,,
1626,Rotavirus turkey/MN/D-007555/2007,0,Rotavirus turkey/MN/D-007555/2007,,,,
1627,Rotavirus turkey/MN/D-007861/2007,0,Rotavirus turkey/MN/D-007861/2007,,,,
1628,Rotavirus turkey/MN/D-007862/2007,0,Rotavirus turkey/MN/D-007862/2007,,,,
1629,Rotavirus turkey/MN/D-007863/2007,0,Rotavirus turkey/MN/D-007863/2007,,,,
1630,Rotavirus turkey/MN/D-016170/2008,0,Rotavirus turkey/MN/D-016170/2008,,,,
1631,Rotavirus turkey/MN/D-016171/2008,0,Rotavirus turkey/MN/D-016171/2008,,,,
1632,Rotavirus turkey/MN/D-022564/2008,0,Rotavirus turkey/MN/D-022564/2008,,,,
1633,Rotavirus turkey/MN/D-022565/2008,0,Rotavirus turkey/MN/D-022565/2008,,,,
1634,Rotavirus turkey/MN/D-035365/2007,0,Rotavirus turkey/MN/D-035365/2007,,,,
1635,Rotavirus turkey/MN/D-046159/2007,0,Rotavirus turkey/MN/D-046159/2007,,,,
1636,Rotavirus turkey/MN/D-047428/2008,0,Rotavirus turkey/MN/D-047428/2008,,,,
1637,Rotavirus turkey/MN/D-048814/2008,0,Rotavirus turkey/MN/D-048814/2008,,,,
1638,Rotavirus turkey/MN/D-049007/2007,0,Rotavirus turkey/MN/D-049007/2007,,,,
1639,Rotavirus turkey/MN/D-049317/2007,0,Rotavirus turkey/MN/D-049317/2007,,,,
1640,Rotavirus turkey/MN/D-052725/2007,0,Rotavirus turkey/MN/D-052725/2007,,,,
1641,Rotavirus turkey/MN/D-053540/2007,0,Rotavirus turkey/MN/D-053540/2007,,,,
1642,Rotavirus turkey/MN/D-053578/2007,0,Rotavirus turkey/MN/D-053578/2007,,,,
1643,Rotavirus turkey/MN/D-053706/2007,0,Rotavirus turkey/MN/D-053706/2007,,,,
1644,Rotavirus turkey/MN/D-053853/2007,0,Rotavirus turkey/MN/D-053853/2007,,,,
1645,Rotavirus turkey/MN/D-054413/2007,0,Rotavirus turkey/MN/D-054413/2007,,,,
1646,Rotavirus turkey/MN/D-055423/2007,0,Rotavirus turkey/MN/D-055423/2007,,,,
1647,Rotavirus turkey/MN/D-055431/2008,0,Rotavirus turkey/MN/D-055431/2008,,,,
1648,Rotavirus turkey/MN/D-055471/2008,0,Rotavirus turkey/MN/D-055471/2008,,,,
1649,Rotavirus turkey/MN/D-056058/2007,0,Rotavirus turkey/MN/D-056058/2007,,,,
1650,Rotavirus turkey/MN/D-056826/2007,0,Rotavirus turkey/MN/D-056826/2007,,,,
1651,Rotavirus turkey/MN/D-058211/2007,0,Rotavirus turkey/MN/D-058211/2007,,,,
1652,Rotavirus turkey/MN/D-058212/2007,0,Rotavirus turkey/MN/D-058212/2007,,,,
1653,Rotavirus turkey/MN/D-058648/2007,0,Rotavirus turkey/MN/D-058648/2007,,,,
1654,Rotavirus turkey/MN/D-059191/2007,0,Rotavirus turkey/MN/D-059191/2007,,,,
1655,Rotavirus turkey/MN/D-059867/2008,0,Rotavirus turkey/MN/D-059867/2008,,,,
1656,Rotavirus turkey/MN/D-22852/2007,0,Rotavirus turkey/MN/D-22852/2007,,,,
1657,Rous sarcoma virus,,Rous sarcoma virus,GCF_000855425.1,9392.0,54.0,4.0
1658,Ruddy turnstone astrovirus,0,Ruddy turnstone astrovirus,,,,
1659,Ruddy turnstone calicivirus,0,Ruddy turnstone calicivirus,,,,
1660,Ruddy turnstone calicivirus A,0,Ruddy turnstone calicivirus A,,,,
1661,Ruddy turnstone calicivirus B,0,Ruddy turnstone calicivirus B,,,,
1662,Ruddy turnstone rotavirus,0,Ruddy turnstone rotavirus,,,,
1663,Rymill virus,0,Rymill virus,,,,
1664,Rynchops niger coronavirus,0,Rynchops niger coronavirus,,,,
1665,Salmonella phage DaR-2019a,0,Salmonella phage DaR-2019a,GCA_006083255.1,89091.0,39.0,146.0
1666,Salmonella phage DaR-2019b,0,Salmonella phage DaR-2019b,GCA_006083295.1,88966.0,39.0,148.0
1667,Salmonella phage SP1a,0,Salmonella phage SP1a,GCA_002924565.1,111184.0,39.0,
1668,Sapelovirus sp.,,Sapelovirus sp.,,,,
1669,Schouten virus,0,Schouten virus,,,,
1670,Scott virus,0,Scott virus,,,,
1671,Sedov virus,0,Sedov virus,,,,
1672,Senko virus,0,Senko virus,,,,
1673,Serdyukov virus,0,Serdyukov virus,,,,
1674,Serinus canaria papillomavirus 1,GCF_004131485.1,Serinus canaria papillomavirus 1,GCF_004131485.1,8071.0,49.5,8.0
1675,Sewage-associated circular DNA virus,,Sewage-associated circular DNA virus,,,,
1676,Shackleton virus,0,Shackleton virus,,,,
1677,Sharp-tailed sandpiper Picornavirus B-like,0,Sharp-tailed sandpiper Picornavirus B-like,,,,
1678,Shelduck calicivirus,0,Shelduck calicivirus,,,,
1679,Shelduck picobirnavirus I,0,Shelduck picobirnavirus I,,,,
1680,Shelduck picobirnavirus II,0,Shelduck picobirnavirus II,,,,
1681,Shelduck picobirnavirus III,0,Shelduck picobirnavirus III,,,,
1682,Shelduck rhabdovirus,0,Shelduck rhabdovirus,,,,
1683,Shelvocke virus,0,Shelvocke virus,,,,
1684,Shirase virus,0,Shirase virus,,,,
1685,Shorebird deltacoronavirus,,Shorebird deltacoronavirus,,,,
1686,Short beak and dwarfism syndrome virus,,Short beak and dwarfism syndrome virus,,,,
1687,Siadenovirus sp.,,Siadenovirus sp.,GCA_024930225.1,26075.0,38.5,
1688,Sicinivirus A,GCF_001443985.1,Sicinivirus A,GCF_001443985.1,9809.0,55.5,1.0
1689,Sicinivirus sp.,,Sicinivirus sp.,GCF_018583545.1,9471.0,54.5,1.0
1690,Sindbis virus,,Sindbis virus,GCF_000860545.1,11703.0,51.0,4.0
1691,Skua siadenovirus A,GCF_000895055.1,Skua siadenovirus A,GCF_000895055.1,26340.0,34.0,23.0
1692,Smacoviridae sp.,GCF_018591145.1,Smacoviridae sp.,GCF_018591145.1,2549.0,52.0,2.0
1693,Small anellovirus,0,Small anellovirus,,,,
1694,Smith virus,0,Smith virus,,,,
1695,Smooth billed ani adenovirus 1,0,Smooth billed ani adenovirus 1,,,,
1696,Somov virus,0,Somov virus,,,,
1697,South polar skua adenovirus-2,0,South polar skua adenovirus-2,,,,
1698,South polar skua adenovirus-3,0,South polar skua adenovirus-3,,,,
1699,South polar skua adenovirus-4,0,South polar skua adenovirus-4,,,,
1700,South polar skua adenovirus-5,0,South polar skua adenovirus-5,,,,
1701,Sparrow coronavirus HKU17,GCF_000868165.1,Sparrow coronavirus HKU17,GCF_000868165.1,26083.0,44.5,9.0
1702,Sparrow deltacoronavirus,0,Sparrow deltacoronavirus,GCA_031173895.1,25796.0,43.5,9.0
1703,Spata circovirus,,Spata circovirus,,,,
1704,Spheniscid alphaherpesvirus 2,,Spheniscid alphaherpesvirus 2,,,,
1705,Spheniscus humboldti poxvirus,0,Spheniscus humboldti poxvirus,,,,
1706,Strigid herpesvirus 1,0,Strigid herpesvirus 1,,,,
1707,Strix aluco herpesvirus,,Strix aluco herpesvirus,,,,
1708,Strix nebulosa herpesvirus,,Strix nebulosa herpesvirus,,,,
1709,Strix uralensis herpesvirus,,Strix uralensis herpesvirus,,,,
1710,Stroud virus,0,Stroud virus,,,,
1711,Sturnus papillomavirus,,Sturnus papillomavirus,,,,
1712,Sulid herpesvirus 1,0,Sulid herpesvirus 1,,,,
1713,Sunrhavirus alexandria,GCF_023156065.1,Sunrhavirus alexandria,GCF_023156065.1,10846.0,37.0,9.0
1714,Sunrhavirus bimbo,,Sunrhavirus bimbo,,,,
1715,Sunrhavirus garba,GCF_013088625.1,Sunrhavirus garba,GCF_013088625.1,10821.0,38.5,7.0
1716,Sunrhavirus kolongo,,Sunrhavirus kolongo,,,,
1717,Sunrhavirus matariya,GCF_023156095.1,Sunrhavirus matariya,GCF_023156095.1,10991.0,38.0,7.0
1718,Sunrhavirus nasoule,GCF_023155965.1,Sunrhavirus nasoule,GCF_023155965.1,10977.0,39.5,7.0
1719,Sunrhavirus ouango,GCF_023156025.1,Sunrhavirus ouango,GCF_023156025.1,10773.0,35.5,8.0
1720,Sunrhavirus sandjimba,0,Sunrhavirus sandjimba,,,,
1721,Sunrhavirus sunguru,GCF_000925655.1,Sunrhavirus sunguru,GCF_000925655.1,11056.0,40.0,7.0
1722,Swan goose coronavirus,,Swan goose coronavirus,,,,
1723,Sylvia atricapilla herpesvirus,0,Sylvia atricapilla herpesvirus,,,,
1724,Syrmaticus ellioti CRESS-DNA-virus sp.,,Syrmaticus ellioti CRESS-DNA-virus sp.,,,,
1725,Syrmaticus ellioti parvo-like hybrid virus,,Syrmaticus ellioti parvo-like hybrid virus,,,,
1726,Syrmaticus reevesii CRESS-DNA-virus sp.,,Syrmaticus reevesii CRESS-DNA-virus sp.,,,,
1727,Tarbeyev virus,0,Tarbeyev virus,,,,
1728,Tarsiger cyanurus CRESS-DNA-virus sp.,,Tarsiger cyanurus CRESS-DNA-virus sp.,,,,
1729,Tarsiger cyanurus Genomoviridae sp.,,Tarsiger cyanurus Genomoviridae sp.,,,,
1730,Tarsiger cyanurus parvoviridae sp.,,Tarsiger cyanurus parvoviridae sp.,,,,
1731,Tawny frogmouth aviadenovirus A,,Tawny frogmouth aviadenovirus A,,,,
1732,Telmo virus,0,Telmo virus,,,,
1733,Temminck's stint calicivirus,,Temminck's stint calicivirus,GCA_031319925.1,8575.0,51.5,2.0
1734,Tern adenovirus,,Tern adenovirus,,,,
1735,Tern atadenovirus 1,,Tern atadenovirus 1,GCA_031308105.1,31334.0,34.0,32.0
1736,Tetrao urogallus alphaherpesvirus 1,,Tetrao urogallus alphaherpesvirus 1,,,,
1737,Thalassarchid herpesvirus 1,0,Thalassarchid herpesvirus 1,,,,
1738,Thetapapillomavirus 1,GCF_000841825.1,Thetapapillomavirus 1,GCF_000841825.1,7304.0,49.5,6.0
1739,Thinornis picornavirus,,Thinornis picornavirus,,,,
1740,Thrush coronavirus HKU12-600,GCF_000883335.1,Thrush coronavirus HKU12-600,GCF_000883335.1,26396.0,38.0,9.0
1741,Tibet bird virus 1,,Tibet bird virus 1,,,,
1742,Tibet bird virus 2,,Tibet bird virus 2,,,,
1743,Tick-associated DNA virus,,Tick-associated DNA virus,,,,
1744,Tick-associated circular DNA virus,,Tick-associated circular DNA virus,GCA_031315805.1,2535.0,47.5,
1745,Tinamou hepatitis B virus,GCF_002219325.1,Tinamou hepatitis B virus,GCF_002219325.1,3024.0,43.5,5.0
1746,Tolstikov virus,0,Tolstikov virus,,,,
1747,Torque teno virus,,Torque teno virus,GCF_018580245.1,3649.0,49.0,4.0
1748,Totiviridae sp.,,Totiviridae sp.,GCA_023571715.1,5261.0,68.5,1.0
1749,Toutouwai hepatovirus,,Toutouwai hepatovirus,,,,
1750,Tragopan caboti CRESS-DNA-virus sp.,,Tragopan caboti CRESS-DNA-virus sp.,,,,
1751,Treisepsilonpapillomavirus 1,GCF_000920595.1,Treisepsilonpapillomavirus 1,GCF_000920595.1,7637.0,49.5,7.0
1752,Treiszetapapillomavirus 1,GCF_000922895.1,Treiszetapapillomavirus 1,GCF_000922895.1,8132.0,48.0,12.0
1753,Tremovirus A,,Tremovirus A,,,,
1754,Treshnikov virus,0,Treshnikov virus,,,,
1755,Tropical screech owl adenovirus 1,0,Tropical screech owl adenovirus 1,,,,
1756,Tunzelmann virus,0,Tunzelmann virus,,,,
1757,Tupavirus durham,GCF_002815915.1,Tupavirus durham,GCF_002815915.1,11092.0,43.5,7.0
1758,Turdid alphaherpesvirus 1,,Turdid alphaherpesvirus 1,,,,
1759,Turdus hortulorum CRESS-DNA-virus sp.,,Turdus hortulorum CRESS-DNA-virus sp.,,,,
1760,Turdus hortulorum parvoviridae sp.,,Turdus hortulorum parvoviridae sp.,,,,
1761,Turdus merula herpesvirus,,Turdus merula herpesvirus,,,,
1762,Turdus naumanni CRESS-DNA-virus sp.,,Turdus naumanni CRESS-DNA-virus sp.,,,,
1763,Turdus naumanni Ichthamaparvovirus,,Turdus naumanni Ichthamaparvovirus,,,,
1764,Turdus naumanni parvoviridae sp.,,Turdus naumanni parvoviridae sp.,,,,
1765,Turdus pallidus Chaphamaparvovirus,,Turdus pallidus Chaphamaparvovirus,,,,
1766,Turdus pallidus parvoviridae sp.,,Turdus pallidus parvoviridae sp.,,,,
1767,Turkey astrovirus,GCF_000857825.1,Turkey astrovirus,GCF_000857825.1,7003.0,43.5,2.0
1768,Turkey astrovirus 3,0,Turkey astrovirus 3,,,,
1769,Turkey aviadenovirus 2,0,Turkey aviadenovirus 2,,,,
1770,Turkey aviadenovirus B,GCF_000888635.1,Turkey aviadenovirus B,GCF_000888635.1,45413.0,67.0,37.0
1771,Turkey aviadenovirus C,GCF_000912195.1,Turkey aviadenovirus C,GCF_000912195.1,42940.0,48.5,33.0
1772,Turkey aviadenovirus D,GCF_000913655.1,Turkey aviadenovirus D,GCF_000913655.1,43686.0,51.5,37.0
1773,Turkey parvovirus Croatia/Munt/2010,0,Turkey parvovirus Croatia/Munt/2010,,,,
1774,Turkey parvovirus Tu33/2010/HUN,0,Turkey parvovirus Tu33/2010/HUN,,,,
1775,Turkey parvovirus Tu762/2009/HUN,0,Turkey parvovirus Tu762/2009/HUN,,,,
1776,Turkey picobirnavirus,0,Turkey picobirnavirus,,,,
1777,Turkey picornavirus,0,Turkey picornavirus,,,,
1778,Turkey siadenovirus A,,Turkey siadenovirus A,,,,
1779,Turkeypox virus,GCF_001431935.1,Turkeypox virus,GCF_001431935.1,188534.0,30.0,171.0
1780,Tyabin virus,0,Tyabin virus,,,,
1781,Tymoviridae sp. XZN137671,,Tymoviridae sp. XZN137671,,,,
1782,Ui-te-Rangiora virus,0,Ui-te-Rangiora virus,,,,
1783,Umatilla virus,GCF_000923315.1,Umatilla virus,GCF_000923315.1,19402.0,41.0,10.0
1784,Uukuvirus uriae,GCF_013086475.1,Uukuvirus uriae,GCF_013086475.1,11455.0,42.5,4.0
1785,Varley virus,0,Varley virus,,,,
1786,Venezuelan equine encephalitis virus,0,Venezuelan equine encephalitis virus,GCF_002889695.1,11447.0,50.0,6.0
1787,Vespucci virus,0,Vespucci virus,,,,
1788,Virginian WCV avipoxvirus,0,Virginian WCV avipoxvirus,,,,
1789,Vultur gryphus poxvirus,0,Vultur gryphus poxvirus,,,,
1790,Vulture herpesvirus,0,Vulture herpesvirus,,,,
1791,Waterbird gammacoronavirus 1,,Waterbird gammacoronavirus 1,,,,
1792,Waterwitch virus,,Waterwitch virus,,,,
1793,Weivirus-like virus sp.,0,Weivirus-like virus sp.,,,,
1794,Wendell virus,0,Wendell virus,,,,
1795,Western equine encephalitis virus,0,Western equine encephalitis virus,GCF_002889215.1,11562.0,48.5,2.0
1796,Western jackdaw circovirus,,Western jackdaw circovirus,,,,
1797,Whistler virus,,Whistler virus,,,,
1798,White-eye coronavirus HKU16,GCF_000896875.1,White-eye coronavirus HKU16,GCF_000896875.1,26041.0,40.0,8.0
1799,White-rumped seedeater circovirus,,White-rumped seedeater circovirus,,,,
1800,WigFec circovirus 1,GCF_029886425.1,WigFec circovirus 1,GCF_029886425.1,1723.0,51.0,2.0
1801,WigFec circovirus 2,GCF_029886435.1,WigFec circovirus 2,GCF_029886435.1,1821.0,48.0,2.0
1802,Wigeon coronavirus HKU20,GCF_000895415.1,Wigeon coronavirus HKU20,GCF_000895415.1,26227.0,39.5,10.0
1803,Wigfec virus K19_221,,Wigfec virus K19_221,GCA_031321275.1,3789.0,46.5,
1804,Wigfec virus K19_227,,Wigfec virus K19_227,GCA_031320975.1,3714.0,39.0,
1805,Wigfec virus K19_259,,Wigfec virus K19_259,GCA_031321285.1,3393.0,37.5,
1806,Wigfec virus K19_292,,Wigfec virus K19_292,GCA_031321135.1,3112.0,38.5,
1807,Wigfec virus K19_327,,Wigfec virus K19_327,GCA_031321295.1,2948.0,44.5,
1808,Wigfec virus K19_346,,Wigfec virus K19_346,GCA_031321145.1,2885.0,38.0,
1809,Wigfec virus K19_385,,Wigfec virus K19_385,GCA_031321155.1,2661.0,37.0,
1810,Wigfec virus K19_426,,Wigfec virus K19_426,GCA_031320985.1,2412.0,43.0,
1811,Wigfec virus K19_432,,Wigfec virus K19_432,GCA_031320995.1,2388.0,43.0,
1812,Wigfec virus K19_435,,Wigfec virus K19_435,GCA_031321405.1,2375.0,51.0,
1813,Wigfec virus K19_443,,Wigfec virus K19_443,GCA_031321305.1,2360.0,46.0,
1814,Wigfec virus K19_448,,Wigfec virus K19_448,GCA_031321355.1,2327.0,38.5,
1815,Wigfec virus K19_450,,Wigfec virus K19_450,GCA_031321005.1,2318.0,43.5,
1816,Wigfec virus K19_454,,Wigfec virus K19_454,GCA_031321365.1,2301.0,46.5,
1817,Wigfec virus K19_467,,Wigfec virus K19_467,GCA_031321415.1,2232.0,45.5,
1818,Wigfec virus K19_469,,Wigfec virus K19_469,GCA_031321395.1,2231.0,50.5,
1819,Wigfec virus K19_482,,Wigfec virus K19_482,GCA_031321385.1,2200.0,51.5,
1820,Wigfec virus K19_484,,Wigfec virus K19_484,GCA_031321015.1,2197.0,51.0,
1821,Wigfec virus K19_486,,Wigfec virus K19_486,GCA_031321025.1,2194.0,53.5,
1822,Wigfec virus K19_493,,Wigfec virus K19_493,GCA_031321315.1,2170.0,45.0,
1823,Wigfec virus K19_494,,Wigfec virus K19_494,GCA_031321035.1,2155.0,50.0,
1824,Wigfec virus K19_511,,Wigfec virus K19_511,GCA_031321045.1,2108.0,50.5,
1825,Wigfec virus K19_513,,Wigfec virus K19_513,GCA_031321375.1,2104.0,44.5,
1826,Wigfec virus K19_521,,Wigfec virus K19_521,GCA_031321055.1,2090.0,34.0,
1827,Wigfec virus K19_525,,Wigfec virus K19_525,GCA_031321165.1,2086.0,32.0,
1828,Wigfec virus K19_526,,Wigfec virus K19_526,GCA_031321325.1,2084.0,42.0,
1829,Wigfec virus K19_545,,Wigfec virus K19_545,GCA_031321065.1,2037.0,41.5,
1830,Wigfec virus K19_555,,Wigfec virus K19_555,GCA_031321175.1,2020.0,45.5,
1831,Wigfec virus K19_558,,Wigfec virus K19_558,GCA_031321185.1,2010.0,46.5,
1832,Wigfec virus K19_561,,Wigfec virus K19_561,GCA_031321195.1,2004.0,31.5,
1833,Wigfec virus K19_562,,Wigfec virus K19_562,GCA_031321075.1,1999.0,47.5,
1834,Wigfec virus K19_571,,Wigfec virus K19_571,GCA_031321205.1,1986.0,39.0,
1835,Wigfec virus K19_576,,Wigfec virus K19_576,GCA_031321335.1,1981.0,52.0,
1836,Wigfec virus K19_588,,Wigfec virus K19_588,GCA_031321085.1,1934.0,41.5,
1837,Wigfec virus K19_593,,Wigfec virus K19_593,GCA_031321215.1,1929.0,37.5,
1838,Wigfec virus K19_598,,Wigfec virus K19_598,GCA_031321095.1,1920.0,40.0,
1839,Wigfec virus K19_600,,Wigfec virus K19_600,GCA_031321225.1,1916.0,37.0,
1840,Wigfec virus K19_605,,Wigfec virus K19_605,GCA_031321105.1,1903.0,42.0,
1841,Wigfec virus K19_615,,Wigfec virus K19_615,GCA_031321345.1,1865.0,35.5,
1842,Wigfec virus K19_623,,Wigfec virus K19_623,GCA_031321115.1,1840.0,30.5,
1843,Wigfec virus K19_645,,Wigfec virus K19_645,GCA_031321235.1,1750.0,42.5,
1844,Wigfec virus K19_654,,Wigfec virus K19_654,GCA_031321245.1,1726.0,38.0,
1845,Wigfec virus K19_658,,Wigfec virus K19_658,GCA_031321125.1,1722.0,37.0,
1846,Wigfec virus K19_668,,Wigfec virus K19_668,GCA_031321255.1,1702.0,37.0,
1847,Wigfec virus K19_691,,Wigfec virus K19_691,GCA_031321265.1,1665.0,38.5,
1848,Wilkes virus,0,Wilkes virus,,,,
1849,Wood duck chaphamaparvovirus,,Wood duck chaphamaparvovirus,,,,
1850,Wood duck megrivirus,,Wood duck megrivirus,,,,
1851,Wood pigeon astrovirus,,Wood pigeon astrovirus,,,,
1852,Yaounde-like virus Ave-Ghana/2007,0,Yaounde-like virus Ave-Ghana/2007,,,,
1853,Yellow-eyed penguin gyrovirus,,Yellow-eyed penguin gyrovirus,,,,
1854,Yellow-eyed penguin megrivirus,,Yellow-eyed penguin megrivirus,,,,
1855,Yellow-eyed penguin picornavirus,,Yellow-eyed penguin picornavirus,,,,
1856,Yellow-fronted canary circovirus,,Yellow-fronted canary circovirus,,,,
1857,Zebra finch hepacivirus 1,,Zebra finch hepacivirus 1,,,,
1858,Zebra finch hepacivirus 2,,Zebra finch hepacivirus 2,,,,
1859,Zingilamo virus,,Zingilamo virus,GCA_031320685.1,11687.0,52.5,
1860,Zoothera dauma adenovirus,,Zoothera dauma adenovirus,,,,
1861,bar-headed goose anativirus,,bar-headed goose anativirus,,,,
1862,bar-headed goose hepatovirus,,bar-headed goose hepatovirus,,,,
1863,bar-headed goose megrivirus,,bar-headed goose megrivirus,,,,
1864,black-headed gull deltacoronavirus,,black-headed gull deltacoronavirus,,,,
1865,common gull deltacoronavirus,,common gull deltacoronavirus,,,,
1866,common gull gammacoronavirus,,common gull gammacoronavirus,,,,
1867,cormorant polyomavirus 1,,cormorant polyomavirus 1,GCA_031281625.1,5133.0,47.5,
1868,crane CRESS-DNA virus,,crane CRESS-DNA virus,GCA_031274965.1,2243.0,51.5,
1869,d'Urville virus,0,d'Urville virus,,,,
1870,de Castilla virus,0,de Castilla virus,,,,
1871,de Gerlache virus,0,de Gerlache virus,,,,
1872,de Kerguelen virus,0,de Kerguelen virus,,,,
1873,de Lozier virus,0,de Lozier virus,,,,
1874,de Nodal virus,0,de Nodal virus,,,,
1875,duck egg-reducing syndrome virus,,duck egg-reducing syndrome virus,GCA_031321475.1,9042.0,41.5,
1876,egret CRESS-DNA virus,,egret CRESS-DNA virus,GCA_031275015.1,2216.0,54.0,
1877,finch CRESS-DNA virus,,finch CRESS-DNA virus,GCA_031275045.1,2366.0,53.0,
