Pathogen Species,Species,GA,size,gc,genes,GA_missing,size_missing,gc_missing,genes_missing
Phoenicurus auroreus CRESS-DNA-virus sp.,Phoenicurus auroreus CRESS-DNA-virus sp.,,,,,1,1,1,1
Phoenicurus auroreus parvoviridae sp.,Phoenicurus auroreus parvoviridae sp.,,,,,1,1,1,1
Phylloscopus fuscatus CRESS-DNA-virus sp.,Phylloscopus fuscatus CRESS-DNA-virus sp.,,,,,1,1,1,1
Phylloscopus fuscatus Ichthamaparvovirus,Phylloscopus fuscatus Ichthamaparvovirus,,,,,1,1,1,1
Phylloscopus fuscatus parvoviridae sp.,Phylloscopus fuscatus parvoviridae sp.,,,,,1,1,1,1
Phylloscopus inornatus parvoviridae sp.,Phylloscopus inornatus parvoviridae sp.,,,,,1,1,1,1
Phylloscopus parvoviridae sp.,Phylloscopus parvoviridae sp.,,,,,1,1,1,1
Phylloscopus proregulus Brevihamaparvovirus,Phylloscopus proregulus Brevihamaparvovirus,,,,,1,1,1,1
Phylloscopus proregulus Ichthamaparvovirus,Phylloscopus proregulus Ichthamaparvovirus,,,,,1,1,1,1
Phylloscopus proregulus parvoviridae sp.,Phylloscopus proregulus parvoviridae sp.,,,,,1,1,1,1
Phylloscopus schwarzi parvoviridae sp.,Phylloscopus schwarzi parvoviridae sp.,,,,,1,1,1,1
Phylloscopus tenellipes CRESS-DNA-virus sp.,Phylloscopus tenellipes CRESS-DNA-virus sp.,,,,,1,1,1,1
Picobirnaviridae sp. gcode 3,Picobirnaviridae sp. gcode 3,,,,,1,1,1,1
Picobirnavirus GI/PBV/turkey/USA/MN-1/2011,Picobirnavirus GI/PBV/turkey/USA/MN-1/2011,,,,,1,1,1,1
Picobirnavirus HK-2014,Picobirnavirus HK-2014,,,,,1,1,1,1
Picobirnavirus sp.,Picobirnavirus sp.,GCF_004117395.1,4297.0,40.5,4.0,0,0,0,0
Picobirnavirus turkey/USA-1507/2010,Picobirnavirus turkey/USA-1507/2010,,,,,1,1,1,1
Picobirnavirus turkey/USA-1512/2010,Picobirnavirus turkey/USA-1512/2010,,,,,1,1,1,1
Picornavirales sp.,Picornavirales sp.,GCF_013086155.1,8422.0,45.5,1.0,0,0,0,0
Picornaviridae sp.,Picornaviridae sp.,GCF_003389975.1,7443.0,42.0,1.0,0,0,0,0
Picornavirus chicken/CHK1/USA/2010,Picornavirus chicken/CHK1/USA/2010,,,,,1,1,1,1
Picornavirus chicken/CHK148/USA/2010,Picornavirus chicken/CHK148/USA/2010,,,,,1,1,1,1
Picornavirus chicken/CHK165/USA/2010,Picornavirus chicken/CHK165/USA/2010,,,,,1,1,1,1
Picornavirus chicken/CHK168/USA/2010,Picornavirus chicken/CHK168/USA/2010,,,,,1,1,1,1
Picornavirus chicken/CHK175/USA/2010,Picornavirus chicken/CHK175/USA/2010,,,,,1,1,1,1
Picornavirus turkey/TRK22/USA/2010,Picornavirus turkey/TRK22/USA/2010,,,,,1,1,1,1
Picornavirus turkey/TRK24/USA/2010,Picornavirus turkey/TRK24/USA/2010,,,,,1,1,1,1
Picornavirus turkey/TRK90/USA/2010,Picornavirus turkey/TRK90/USA/2010,,,,,1,1,1,1
Picornavirus turkey/TRK91/USA/2010,Picornavirus turkey/TRK91/USA/2010,,,,,1,1,1,1
Pigeon adenovirus,Pigeon adenovirus,,,,,1,1,1,1
Pigeon adenovirus 2a,Pigeon adenovirus 2a,GCA_006436595.1,31314.0,49.0,,0,0,0,1
Pigeon adenovirus 2b,Pigeon adenovirus 2b,,,,,1,1,1,1
Pigeon adenovirus 3,Pigeon adenovirus 3,,,,,1,1,1,1
Pigeon adenovirus 4,Pigeon adenovirus 4,,,,,1,1,1,1
Pigeon adenovirus 5,Pigeon adenovirus 5,,,,,1,1,1,1
Pigeon adenovirus FJ2017,Pigeon adenovirus FJ2017,,,,,1,1,1,1
Pigeon astrovirus,Pigeon astrovirus,,,,,1,1,1,1
Pigeon aviadenovirus A,Pigeon aviadenovirus A,GCF_000921315.1,45480.0,64.0,37.0,0,0,0,0
Pigeon aviadenovirus B,Pigeon aviadenovirus B,GCF_001831345.1,41981.0,48.5,35.0,0,0,0,0
Pigeon coronavirus UAE-HKU29,Pigeon coronavirus UAE-HKU29,GCA_031171245.1,26155.0,39.5,10.0,0,0,0,0
Pigeon gyrovirus,Pigeon gyrovirus,GCA_031232875.1,2573.0,54.0,2.0,0,0,0,0
Pigeon parvovirus A,Pigeon parvovirus A,GCF_018580195.1,5492.0,52.0,4.0,0,0,0,0
Pigeon picornavirus A,Pigeon picornavirus A,,,,,1,1,1,1
Pigeon picornavirus B,Pigeon picornavirus B,GCF_000892795.1,7801.0,46.0,1.0,0,0,0,0
Pigeon-dominant Coronavirus,Pigeon-dominant Coronavirus,,,,,1,1,1,1
Pigeonpox virus,Pigeonpox virus,GCF_000922075.1,282356.0,29.5,271.0,0,0,0,0
Pileated finch aveparvovirus,Pileated finch aveparvovirus,GCF_029884085.1,5368.0,44.0,3.0,0,0,0,0
Pin virus,Pin virus,,,,,1,1,1,1
Pingu picornavirus,Pingu picornavirus,GCF_018583705.1,7601.0,49.0,1.0,0,0,0,0
Pink-eared duck avastrovirus,Pink-eared duck avastrovirus,,,,,1,1,1,1
Pink-eared duck calicivirus I,Pink-eared duck calicivirus I,,,,,1,1,1,1
Pink-eared duck calicivirus II,Pink-eared duck calicivirus II,,,,,1,1,1,1
Pink-eared duck megrivirus,Pink-eared duck megrivirus,,,,,1,1,1,1
Pink-eared duck picobirnavirus,Pink-eared duck picobirnavirus,,,,,1,1,1,1
Pink-eared duck picornavirus,Pink-eared duck picornavirus,,,,,1,1,1,1
Plum headed parakeet adenovirus 1,Plum headed parakeet adenovirus 1,,,,,1,1,1,1
Podargid alphaherpesvirus 1,Podargid alphaherpesvirus 1,,,,,1,1,1,1
Poecivirus A,Poecivirus A,GCF_003085835.1,7653.0,43.5,1.0,0,0,0,0
Poecivirus NOCR-674,Poecivirus NOCR-674,,,,,1,1,1,1
Poecivirus NOCR-848,Poecivirus NOCR-848,,,,,1,1,1,1
Poecivirus RBNH-12,Poecivirus RBNH-12,,,,,1,1,1,1
Poecivirus RBNH-929,Poecivirus RBNH-929,,,,,1,1,1,1
Poecivirus sp.,Poecivirus sp.,,,,,1,1,1,1
Poicephalus senegalus papillomavirus,Poicephalus senegalus papillomavirus,,,,,1,1,1,1
Polyomavirus erythrura5304,Polyomavirus erythrura5304,,,,,1,1,1,1
Polyomavirus erythrura5362,Polyomavirus erythrura5362,,,,,1,1,1,1
Polyomavirus odontophorus5057,Polyomavirus odontophorus5057,,,,,1,1,1,1
Polyomavirus phylloscopus4708,Polyomavirus phylloscopus4708,,,,,1,1,1,1
Polyomavirus phylloscopus4853,Polyomavirus phylloscopus4853,,,,,1,1,1,1
Polyomavirus prunella5215,Polyomavirus prunella5215,,,,,1,1,1,1
Polyomavirus pteridophora5384,Polyomavirus pteridophora5384,,,,,1,1,1,1
Polyomavirus saxicola5252a,Polyomavirus saxicola5252a,,,,,1,1,1,1
Polyomavirus sericulus5319,Polyomavirus sericulus5319,,,,,1,1,1,1
Polyomavirus taeniopygia5555,Polyomavirus taeniopygia5555,,,,,1,1,1,1
Polyomavirus zonotrichia5422,Polyomavirus zonotrichia5422,,,,,1,1,1,1
Porcine epidemic diarrhea virus,Porcine epidemic diarrhea virus,GCF_000848685.1,28033.0,42.0,6.0,0,0,0,0
Porprismacovirus avias1,Porprismacovirus avias1,GCF_018587855.1,2546.0,48.0,2.0,0,0,0,0
Porprismacovirus chicas2,Porprismacovirus chicas2,GCF_018589255.1,2534.0,49.0,2.0,0,0,0,0
Porprismacovirus chicas3,Porprismacovirus chicas3,GCF_018589375.1,2528.0,50.0,2.0,0,0,0,0
Porprismacovirus chicas4,Porprismacovirus chicas4,GCF_018589325.1,2532.0,49.0,2.0,0,0,0,0
Porprismacovirus chicas5,Porprismacovirus chicas5,GCF_018589385.1,2419.0,52.5,2.0,0,0,0,0
Porprismacovirus chicas6,Porprismacovirus chicas6,GCF_018589355.1,2442.0,50.0,2.0,0,0,0,0
Porprismacovirus chicas7,Porprismacovirus chicas7,GCF_018589365.1,2608.0,47.0,2.0,0,0,0,0
Porprismacovirus turas1,Porprismacovirus turas1,GCF_000918075.1,2479.0,52.0,2.0,0,0,0,0
Powell virus,Powell virus,,,,,1,1,1,1
Protoparvovirus HK-2014,Protoparvovirus HK-2014,,,,,1,1,1,1
Protoparvovirus Udayana_MDPVA,Protoparvovirus Udayana_MDPVA,,,,,1,1,1,1
Protoparvovirus Udayana_MDPVB,Protoparvovirus Udayana_MDPVB,,,,,1,1,1,1
Protoparvovirus sp.,Protoparvovirus sp.,GCA_031166105.1,5046.0,47.0,,0,0,0,1
Prunella montanella CRESS-DNA-virus sp.,Prunella montanella CRESS-DNA-virus sp.,,,,,1,1,1,1
Prunella montanella Genomoviridae sp.,Prunella montanella Genomoviridae sp.,,,,,1,1,1,1
Psittacid alphaherpesvirus 6,Psittacid alphaherpesvirus 6,,,,,1,1,1,1
Psittacid herpesvirus 3,Psittacid herpesvirus 3,,,,,1,1,1,1
Psittacidae CRESS-DNA-virus sp.,Psittacidae CRESS-DNA-virus sp.,,,,,1,1,1,1
Psittacidae Chaphamaparvovirus,Psittacidae Chaphamaparvovirus,,,,,1,1,1,1
Psittacidae aveparvovirus,Psittacidae aveparvovirus,,,,,1,1,1,1
Psittacidae dependoparvovirus,Psittacidae dependoparvovirus,,,,,1,1,1,1
Psittacidae parvo-like hybrid virus,Psittacidae parvo-like hybrid virus,,,,,1,1,1,1
Psittacidae parvoviridae sp.,Psittacidae parvoviridae sp.,,,,,1,1,1,1
Psittaciform aveparvovirus,Psittaciform aveparvovirus,,,,,1,1,1,1
Psittaciform chaphamaparvovirus 3,Psittaciform chaphamaparvovirus 3,GCA_031311285.1,4277.0,43.0,,0,0,0,1
Psittaciform chaphamaparvovirus 4,Psittaciform chaphamaparvovirus 4,,,,,1,1,1,1
Psittaciform chaphamaparvovirus 5,Psittaciform chaphamaparvovirus 5,,,,,1,1,1,1
Psittaciform chaphamaparvovirus 6,Psittaciform chaphamaparvovirus 6,,,,,1,1,1,1
Psittaciform parvoviridae sp.,Psittaciform parvoviridae sp.,,,,,1,1,1,1
Psittacine adenovirus 12,Psittacine adenovirus 12,,,,,1,1,1,1
Psittacine adenovirus 2,Psittacine adenovirus 2,GCA_020842125.1,25616.0,37.0,,0,0,0,1
Psittacine atadenovirus A,Psittacine atadenovirus A,GCF_000929035.1,31735.0,53.5,29.0,0,0,0,0
Psittacine aviadenovirus B,Psittacine aviadenovirus B,GCF_003032855.1,40930.0,52.0,42.0,0,0,0,0
Psittacine aviadenovirus C,Psittacine aviadenovirus C,GCF_006425375.1,38694.0,51.5,55.0,0,0,0,0
Psittacine chaphamaparvovirus 2,Psittacine chaphamaparvovirus 2,GCA_031308385.1,4312.0,41.5,,0,0,0,1
Psittacine orthoreovirus AGPReo1983,Psittacine orthoreovirus AGPReo1983,,,,,1,1,1,1
Psittacine picornavirus,Psittacine picornavirus,,,,,1,1,1,1
Psittacine siadenovirus 1,Psittacine siadenovirus 1,GCA_031201985.1,27162.0,37.0,,0,0,0,1
Psittacine siadenovirus D,Psittacine siadenovirus D,GCF_018586905.1,27163.0,37.0,21.0,0,0,0,0
Psittacine siadenovirus E,Psittacine siadenovirus E,GCF_018584825.1,27209.0,37.5,24.0,0,0,0,0
Psittacine siadenovirus F,Psittacine siadenovirus F,GCA_031268895.1,25392.0,37.0,,0,0,0,1
Ptolmey virus,Ptolmey virus,,,,,1,1,1,1
Puffin papillomavirus 1,Puffin papillomavirus 1,GCA_031189375.1,7703.0,56.5,7.0,0,0,0,0
Purple grenadier circovirus,Purple grenadier circovirus,,,,,1,1,1,1
Pygoscepivirus A,Pygoscepivirus A,,,,,1,1,1,1
Quail coronavirus Italy/Elvia/2005,Quail coronavirus Italy/Elvia/2005,,,,,1,1,1,1
Quail coronavirus UAE-HKU30,Quail coronavirus UAE-HKU30,GCA_031171235.1,25874.0,42.5,9.0,0,0,0,0
Quail deltacoronavirus,Quail deltacoronavirus,GCA_031174035.1,25881.0,42.0,,0,0,0,1
Quail picornavirus QPV1/HUN/2010,Quail picornavirus QPV1/HUN/2010,GCF_000895635.1,8159.0,45.5,1.0,0,0,0,0
Quailpox virus,Quailpox virus,GCF_002829285.1,581.0,33.5,1.0,0,0,0,0
Quang Binh virus,Quang Binh virus,GCA_031123885.1,10891.0,52.0,,0,0,0,1
Quaranjavirus chadense,Quaranjavirus chadense,GCF_016848445.1,11987.0,46.5,7.0,0,0,0,0
Quaranjavirus wellfleetense,Quaranjavirus wellfleetense,GCF_000927955.1,11958.0,43.5,7.0,0,0,0,0
RNA virus hoopoe/BBanka01/2015/HUN,RNA virus hoopoe/BBanka01/2015/HUN,GCA_031199605.1,7052.0,36.0,,0,0,0,1
RNA virus sp.,RNA virus sp.,,,,,1,1,1,1
Raina virus,Raina virus,,,,,1,1,1,1
Raptor adenovirus,Raptor adenovirus,,,,,1,1,1,1
Raptor siadenovirus A,Raptor siadenovirus A,GCF_000893535.1,26284.0,38.5,23.0,0,0,0,0
Red-billed gull papillomavirus,Red-billed gull papillomavirus,,,,,1,1,1,1
Red-capped plover megrivirus,Red-capped plover megrivirus,,,,,1,1,1,1
Red-fronted serin circovirus,Red-fronted serin circovirus,,,,,1,1,1,1
Red-necked stint Picornavirus B-like,Red-necked stint Picornavirus B-like,,,,,1,1,1,1
Red-necked stint avastrovirus,Red-necked stint avastrovirus,,,,,1,1,1,1
Red-necked stint gallivirus,Red-necked stint gallivirus,,,,,1,1,1,1
Reoviridae sp.,Reoviridae sp.,GCA_031191825.1,4297.0,43.5,,0,0,0,1
Reovirus sp.,Reovirus sp.,,,,,1,1,1,1
Reticuloendotheliosis virus,Reticuloendotheliosis virus,GCF_000858025.1,8295.0,52.5,3.0,0,0,0,0
Retroviridae sp.,Retroviridae sp.,,,,,1,1,1,1
Rhabdoviridae sp.,Rhabdoviridae sp.,GCF_029886045.1,12485.0,41.5,6.0,0,0,0,0
Riboviria sp.,Riboviria sp.,,,,,1,1,1,1
Riiser virus,Riiser virus,,,,,1,1,1,1
Rockhopper penguin papillomavirus,Rockhopper penguin papillomavirus,,,,,1,1,1,1
Ross River virus,Ross River virus,GCF_002889255.1,11948.0,51.0,2.0,0,0,0,0
Ross virus,Ross virus,,,,,1,1,1,1
Rotavirus A,Rotavirus A,GCF_000880735.1,18562.0,33.5,12.0,0,0,0,0
Rotavirus D,Rotavirus D,GCF_000890155.1,18500.0,33.0,12.0,0,0,0,0
Rotavirus F,Rotavirus F,GCF_000910335.1,18341.0,34.5,11.0,0,0,0,0
Rotavirus G,Rotavirus G,GCF_001343825.1,18186.0,35.0,12.0,0,0,0,0
Rotavirus sp.,Rotavirus sp.,,,,,1,1,1,1
Rotavirus turkey/MN/D-000818/2008,Rotavirus turkey/MN/D-000818/2008,,,,,1,1,1,1
Rotavirus turkey/MN/D-004782/2008,Rotavirus turkey/MN/D-004782/2008,,,,,1,1,1,1
Rotavirus turkey/MN/D-005329/2008,Rotavirus turkey/MN/D-005329/2008,,,,,1,1,1,1
Rotavirus turkey/MN/D-005331/2008,Rotavirus turkey/MN/D-005331/2008,,,,,1,1,1,1
Rotavirus turkey/MN/D-007553/2007,Rotavirus turkey/MN/D-007553/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-007554/2007,Rotavirus turkey/MN/D-007554/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-007555/2007,Rotavirus turkey/MN/D-007555/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-007861/2007,Rotavirus turkey/MN/D-007861/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-007862/2007,Rotavirus turkey/MN/D-007862/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-007863/2007,Rotavirus turkey/MN/D-007863/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-016170/2008,Rotavirus turkey/MN/D-016170/2008,,,,,1,1,1,1
Rotavirus turkey/MN/D-016171/2008,Rotavirus turkey/MN/D-016171/2008,,,,,1,1,1,1
Rotavirus turkey/MN/D-022564/2008,Rotavirus turkey/MN/D-022564/2008,,,,,1,1,1,1
Rotavirus turkey/MN/D-022565/2008,Rotavirus turkey/MN/D-022565/2008,,,,,1,1,1,1
Rotavirus turkey/MN/D-035365/2007,Rotavirus turkey/MN/D-035365/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-046159/2007,Rotavirus turkey/MN/D-046159/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-047428/2008,Rotavirus turkey/MN/D-047428/2008,,,,,1,1,1,1
Rotavirus turkey/MN/D-048814/2008,Rotavirus turkey/MN/D-048814/2008,,,,,1,1,1,1
Rotavirus turkey/MN/D-049007/2007,Rotavirus turkey/MN/D-049007/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-049317/2007,Rotavirus turkey/MN/D-049317/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-052725/2007,Rotavirus turkey/MN/D-052725/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-053540/2007,Rotavirus turkey/MN/D-053540/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-053578/2007,Rotavirus turkey/MN/D-053578/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-053706/2007,Rotavirus turkey/MN/D-053706/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-053853/2007,Rotavirus turkey/MN/D-053853/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-054413/2007,Rotavirus turkey/MN/D-054413/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-055423/2007,Rotavirus turkey/MN/D-055423/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-055431/2008,Rotavirus turkey/MN/D-055431/2008,,,,,1,1,1,1
Rotavirus turkey/MN/D-055471/2008,Rotavirus turkey/MN/D-055471/2008,,,,,1,1,1,1
Rotavirus turkey/MN/D-056058/2007,Rotavirus turkey/MN/D-056058/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-056826/2007,Rotavirus turkey/MN/D-056826/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-058211/2007,Rotavirus turkey/MN/D-058211/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-058212/2007,Rotavirus turkey/MN/D-058212/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-058648/2007,Rotavirus turkey/MN/D-058648/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-059191/2007,Rotavirus turkey/MN/D-059191/2007,,,,,1,1,1,1
Rotavirus turkey/MN/D-059867/2008,Rotavirus turkey/MN/D-059867/2008,,,,,1,1,1,1
Rotavirus turkey/MN/D-22852/2007,Rotavirus turkey/MN/D-22852/2007,,,,,1,1,1,1
Rous sarcoma virus,Rous sarcoma virus,GCF_000855425.1,9392.0,54.0,4.0,0,0,0,0
Ruddy turnstone astrovirus,Ruddy turnstone astrovirus,,,,,1,1,1,1
Ruddy turnstone calicivirus,Ruddy turnstone calicivirus,,,,,1,1,1,1
Ruddy turnstone calicivirus A,Ruddy turnstone calicivirus A,,,,,1,1,1,1
Ruddy turnstone calicivirus B,Ruddy turnstone calicivirus B,,,,,1,1,1,1
Ruddy turnstone rotavirus,Ruddy turnstone rotavirus,,,,,1,1,1,1
Rymill virus,Rymill virus,,,,,1,1,1,1
Rynchops niger coronavirus,Rynchops niger coronavirus,,,,,1,1,1,1
Salmonella phage DaR-2019a,Salmonella phage DaR-2019a,GCA_006083255.1,89091.0,39.0,146.0,0,0,0,0
Salmonella phage DaR-2019b,Salmonella phage DaR-2019b,GCA_006083295.1,88966.0,39.0,148.0,0,0,0,0
Salmonella phage SP1a,Salmonella phage SP1a,GCA_002924565.1,111184.0,39.0,,0,0,0,1
Sapelovirus sp.,Sapelovirus sp.,,,,,1,1,1,1
Schouten virus,Schouten virus,,,,,1,1,1,1
Scott virus,Scott virus,,,,,1,1,1,1
Sedov virus,Sedov virus,,,,,1,1,1,1
Senko virus,Senko virus,,,,,1,1,1,1
Serdyukov virus,Serdyukov virus,,,,,1,1,1,1
Serinus canaria papillomavirus 1,Serinus canaria papillomavirus 1,GCF_004131485.1,8071.0,49.5,8.0,0,0,0,0
Sewage-associated circular DNA virus,Sewage-associated circular DNA virus,,,,,1,1,1,1
Shackleton virus,Shackleton virus,,,,,1,1,1,1
Sharp-tailed sandpiper Picornavirus B-like,Sharp-tailed sandpiper Picornavirus B-like,,,,,1,1,1,1
Shelduck calicivirus,Shelduck calicivirus,,,,,1,1,1,1
Shelduck picobirnavirus I,Shelduck picobirnavirus I,,,,,1,1,1,1
Shelduck picobirnavirus II,Shelduck picobirnavirus II,,,,,1,1,1,1
Shelduck picobirnavirus III,Shelduck picobirnavirus III,,,,,1,1,1,1
Shelduck rhabdovirus,Shelduck rhabdovirus,,,,,1,1,1,1
Shelvocke virus,Shelvocke virus,,,,,1,1,1,1
Shirase virus,Shirase virus,,,,,1,1,1,1
Shorebird deltacoronavirus,Shorebird deltacoronavirus,,,,,1,1,1,1
Short beak and dwarfism syndrome virus,Short beak and dwarfism syndrome virus,,,,,1,1,1,1
Siadenovirus sp.,Siadenovirus sp.,GCA_024930225.1,26075.0,38.5,,0,0,0,1
Sicinivirus A,Sicinivirus A,GCF_001443985.1,9809.0,55.5,1.0,0,0,0,0
Sicinivirus sp.,Sicinivirus sp.,GCF_018583545.1,9471.0,54.5,1.0,0,0,0,0
Sindbis virus,Sindbis virus,GCF_000860545.1,11703.0,51.0,4.0,0,0,0,0
Skua siadenovirus A,Skua siadenovirus A,GCF_000895055.1,26340.0,34.0,23.0,0,0,0,0
Smacoviridae sp.,Smacoviridae sp.,GCF_018591145.1,2549.0,52.0,2.0,0,0,0,0
Small anellovirus,Small anellovirus,,,,,1,1,1,1
Smith virus,Smith virus,,,,,1,1,1,1
Smooth billed ani adenovirus 1,Smooth billed ani adenovirus 1,,,,,1,1,1,1
Somov virus,Somov virus,,,,,1,1,1,1
South polar skua adenovirus-2,South polar skua adenovirus-2,,,,,1,1,1,1
South polar skua adenovirus-3,South polar skua adenovirus-3,,,,,1,1,1,1
South polar skua adenovirus-4,South polar skua adenovirus-4,,,,,1,1,1,1
South polar skua adenovirus-5,South polar skua adenovirus-5,,,,,1,1,1,1
Sparrow coronavirus HKU17,Sparrow coronavirus HKU17,GCF_000868165.1,26083.0,44.5,9.0,0,0,0,0
Sparrow deltacoronavirus,Sparrow deltacoronavirus,GCA_031173895.1,25796.0,43.5,9.0,0,0,0,0
Spata circovirus,Spata circovirus,,,,,1,1,1,1
Spheniscid alphaherpesvirus 2,Spheniscid alphaherpesvirus 2,,,,,1,1,1,1
Spheniscus humboldti poxvirus,Spheniscus humboldti poxvirus,,,,,1,1,1,1
Strigid herpesvirus 1,Strigid herpesvirus 1,,,,,1,1,1,1
Strix aluco herpesvirus,Strix aluco herpesvirus,,,,,1,1,1,1
Strix nebulosa herpesvirus,Strix nebulosa herpesvirus,,,,,1,1,1,1
Strix uralensis herpesvirus,Strix uralensis herpesvirus,,,,,1,1,1,1
Stroud virus,Stroud virus,,,,,1,1,1,1
Sturnus papillomavirus,Sturnus papillomavirus,,,,,1,1,1,1
Sulid herpesvirus 1,Sulid herpesvirus 1,,,,,1,1,1,1
Sunrhavirus alexandria,Sunrhavirus alexandria,GCF_023156065.1,10846.0,37.0,9.0,0,0,0,0
Sunrhavirus bimbo,Sunrhavirus bimbo,,,,,1,1,1,1
Sunrhavirus garba,Sunrhavirus garba,GCF_013088625.1,10821.0,38.5,7.0,0,0,0,0
Sunrhavirus kolongo,Sunrhavirus kolongo,,,,,1,1,1,1
Sunrhavirus matariya,Sunrhavirus matariya,GCF_023156095.1,10991.0,38.0,7.0,0,0,0,0
Sunrhavirus nasoule,Sunrhavirus nasoule,GCF_023155965.1,10977.0,39.5,7.0,0,0,0,0
Sunrhavirus ouango,Sunrhavirus ouango,GCF_023156025.1,10773.0,35.5,8.0,0,0,0,0
Sunrhavirus sandjimba,Sunrhavirus sandjimba,,,,,1,1,1,1
Sunrhavirus sunguru,Sunrhavirus sunguru,GCF_000925655.1,11056.0,40.0,7.0,0,0,0,0
Swan goose coronavirus,Swan goose coronavirus,,,,,1,1,1,1
Sylvia atricapilla herpesvirus,Sylvia atricapilla herpesvirus,,,,,1,1,1,1
Syrmaticus ellioti CRESS-DNA-virus sp.,Syrmaticus ellioti CRESS-DNA-virus sp.,,,,,1,1,1,1
Syrmaticus ellioti parvo-like hybrid virus,Syrmaticus ellioti parvo-like hybrid virus,,,,,1,1,1,1
Syrmaticus reevesii CRESS-DNA-virus sp.,Syrmaticus reevesii CRESS-DNA-virus sp.,,,,,1,1,1,1
Tarbeyev virus,Tarbeyev virus,,,,,1,1,1,1
Tarsiger cyanurus CRESS-DNA-virus sp.,Tarsiger cyanurus CRESS-DNA-virus sp.,,,,,1,1,1,1
Tarsiger cyanurus Genomoviridae sp.,Tarsiger cyanurus Genomoviridae sp.,,,,,1,1,1,1
Tarsiger cyanurus parvoviridae sp.,Tarsiger cyanurus parvoviridae sp.,,,,,1,1,1,1
Tawny frogmouth aviadenovirus A,Tawny frogmouth aviadenovirus A,,,,,1,1,1,1
Telmo virus,Telmo virus,,,,,1,1,1,1
Temminck's stint calicivirus,Temminck's stint calicivirus,GCA_031319925.1,8575.0,51.5,2.0,0,0,0,0
Tern adenovirus,Tern adenovirus,,,,,1,1,1,1
Tern atadenovirus 1,Tern atadenovirus 1,GCA_031308105.1,31334.0,34.0,32.0,0,0,0,0
Tetrao urogallus alphaherpesvirus 1,Tetrao urogallus alphaherpesvirus 1,,,,,1,1,1,1
Thalassarchid herpesvirus 1,Thalassarchid herpesvirus 1,,,,,1,1,1,1
Thetapapillomavirus 1,Thetapapillomavirus 1,GCF_000841825.1,7304.0,49.5,6.0,0,0,0,0
Thinornis picornavirus,Thinornis picornavirus,,,,,1,1,1,1
Thrush coronavirus HKU12-600,Thrush coronavirus HKU12-600,GCF_000883335.1,26396.0,38.0,9.0,0,0,0,0
Tibet bird virus 1,Tibet bird virus 1,,,,,1,1,1,1
Tibet bird virus 2,Tibet bird virus 2,,,,,1,1,1,1
Tick-associated DNA virus,Tick-associated DNA virus,,,,,1,1,1,1
Tick-associated circular DNA virus,Tick-associated circular DNA virus,GCA_031315805.1,2535.0,47.5,,0,0,0,1
Tinamou hepatitis B virus,Tinamou hepatitis B virus,GCF_002219325.1,3024.0,43.5,5.0,0,0,0,0
Tolstikov virus,Tolstikov virus,,,,,1,1,1,1
Torque teno virus,Torque teno virus,GCF_018580245.1,3649.0,49.0,4.0,0,0,0,0
Totiviridae sp.,Totiviridae sp.,GCA_023571715.1,5261.0,68.5,1.0,0,0,0,0
Toutouwai hepatovirus,Toutouwai hepatovirus,,,,,1,1,1,1
Tragopan caboti CRESS-DNA-virus sp.,Tragopan caboti CRESS-DNA-virus sp.,,,,,1,1,1,1
Treisepsilonpapillomavirus 1,Treisepsilonpapillomavirus 1,GCF_000920595.1,7637.0,49.5,7.0,0,0,0,0
Treiszetapapillomavirus 1,Treiszetapapillomavirus 1,GCF_000922895.1,8132.0,48.0,12.0,0,0,0,0
Tremovirus A,Tremovirus A,,,,,1,1,1,1
Treshnikov virus,Treshnikov virus,,,,,1,1,1,1
Tropical screech owl adenovirus 1,Tropical screech owl adenovirus 1,,,,,1,1,1,1
Tunzelmann virus,Tunzelmann virus,,,,,1,1,1,1
Tupavirus durham,Tupavirus durham,GCF_002815915.1,11092.0,43.5,7.0,0,0,0,0
Turdid alphaherpesvirus 1,Turdid alphaherpesvirus 1,,,,,1,1,1,1
Turdus hortulorum CRESS-DNA-virus sp.,Turdus hortulorum CRESS-DNA-virus sp.,,,,,1,1,1,1
