,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
586,Jingmen tombus-like virus 1,1923351,,,,,,,,,,,7949.0,57.0,2.0,,,,,,,,
587,Pigeon adenovirus 2a,1924072,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31314.0,49.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
588,Avipoxvirus sp.,1928336,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,113506.0,31.0,108.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
589,Chicken stool-associated circular virus,1930302,,,,,,,,,,,4668.0,43.5,3.0,,,,,,,,
590,Chicken picobirnavirus,1930304,7.0,31.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4232.0,45.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
591,Dnistrovskyi 408 orbivirus,1930308,21.0,39.0,75.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
592,Sicinivirus sp.,1930506,20.0,32.0,102.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9471.0,54.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
593,Chicken associated smacovirus,1932006,6.0,40.0,54.0,,1.0,0.0,0.0,0.0,0.0,0.0,2343.0,40.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
594,Rynchops niger coronavirus,1934038,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
595,Anser cygnoides coronavirus,1934040,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
596,Jingmen tombus-like virus 2,1938656,,,,,,,,,,,4100.0,48.5,3.0,,,,,,,,
597,Parvoviridae sp.,1940570,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4305.0,38.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
598,Duck parvovirus NM100,1941434,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5073.0,46.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
599,Circoviridae sp.,1954248,5.0,10.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2780.0,40.5,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
600,Rhabdoviridae sp.,1955137,14.0,37.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,12485.0,41.5,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
601,Picornavirales sp.,1955153,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8422.0,45.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
602,Luteoviridae sp.,1955165,26.0,,,,,,,,,,,,,,,,1.0,,,,
603,Nodaviridae sp.,1955166,16.0,21.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3205.0,51.5,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
604,Partitiviridae sp.,1955170,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3505.0,48.5,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
605,Totiviridae sp.,1955172,9.0,43.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5261.0,68.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
606,Duck parvovirus NM4,1962258,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5073.0,46.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
607,Turkey aviadenovirus C,1962301,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42940.0,48.5,33.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
608,Turkey aviadenovirus D,1962302,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43686.0,51.5,37.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
609,Falcon picornavirus,1964370,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7964.0,42.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
610,Kestrel picornavirus,1964371,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
611,Circovirus sp.,1964372,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2288.0,53.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
612,Coronavirus HKU15,1965089,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
613,Tupavirus durham,1972581,14.0,37.0,109.0,1.0,0.0,0.0,1.0,,0.0,1.0,11092.0,43.5,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
614,Hapavirus flanders,1972612,14.0,37.0,50.0,1.0,0.0,0.0,1.0,,0.0,1.0,13038.0,37.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
615,Hapavirus landjia,1972618,14.0,37.0,50.0,1.0,0.0,0.0,1.0,,0.0,1.0,13695.0,37.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
616,Fowl aviadenovirus sp.,1972696,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
617,Gemycircularvirus sp.,1983771,8.0,14.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2138.0,50.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
618,Chicken genomovirus,1985367,8.0,14.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
619,Avisivirus B,1985982,20.0,32.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7310.0,48.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
620,Avisivirus C,1985983,20.0,32.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7167.0,45.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
621,Protoparvovirus sp.,1987106,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,5046.0,47.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
622,Harkavirus A,2003391,20.0,32.0,51.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8003.0,42.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
623,Psittacine atadenovirus A,2003673,23.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31735.0,53.5,29.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
624,Penguin siadenovirus A,2005055,23.0,0.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24662.0,35.5,22.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
625,Garrulus glandarius associated circular virus 1,2006642,5.0,10.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1971.0,45.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
626,Culex negev-like virus 3,2010275,,,,,,,,,,,9325.0,37.0,,,,,,,,,
627,Tinamou hepatitis B virus,2018685,2.0,16.0,13.0,1.0,1.0,1.0,0.0,,0.0,0.0,3024.0,43.5,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
628,Avipoxvirus 2017,2019388,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
629,Avipoxvirus 3864,2019389,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
630,Dependoparvovirus sp.,2052559,19.0,28.0,31.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
631,Flamingopox virus FGPVKD09,2059380,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,293123.0,29.5,285.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
632,Falcon coronavirus UAE-HKU27,2078576,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26162.0,40.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
633,Houbara coronavirus UAE-HKU28,2078577,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26155.0,39.5,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
634,Quail coronavirus UAE-HKU30,2078581,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25874.0,42.5,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
635,Pigeon coronavirus UAE-HKU29,2078583,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26155.0,39.5,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
636,Avisivirus AVE052/AsV,2080834,20.0,32.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7342.0,46.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
637,Neotropic cormorant herpesvirus,2086349,11.0,23.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
638,Neotropic cormorant aviadenovirus,2086357,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
639,Avian paramyxovirus 17,2094282,14.0,26.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,15408.0,52.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
640,Serinus canaria papillomavirus 1,2094713,28.0,25.0,34.0,0.0,1.0,1.0,0.0,,0.0,0.0,8071.0,49.5,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
641,Circoviridae TaCV1,2094724,5.0,10.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3398.0,33.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
642,Circoviridae TaCV2,2094725,5.0,10.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2967.0,33.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
643,Blackbird arilivirus,2099352,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9228.0,48.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
644,Phacovirus sp.,2108520,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
645,Chicken chapparvovirus 1,2109366,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
646,Chicken stool associated circular virus 1,2109373,,,,,,,,,,,3173.0,48.0,2.0,,,,,,,,
647,Chicken stool associated circular virus 2,2109374,,,,,,,,,,,3161.0,48.0,2.0,,,,,,,,
648,Salmonella phage SP1a,2109652,,12.0,104.0,0.0,0.0,1.0,0.0,,0.0,0.0,111184.0,39.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
649,Cacatuid alphaherpesvirus 1,2115842,11.0,23.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
650,Podargid alphaherpesvirus 1,2115843,11.0,23.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
651,unclassified avian avulavirus strain musk lorikeet/Melbourne/ML22-141263/2014,2115844,14.0,26.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
652,Pileated finch aveparvovirus,2137544,19.0,28.0,10.0,0.0,0.0,1.0,0.0,,0.0,0.0,5368.0,44.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
653,Pigeon adenovirus FJ2017,2162686,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
654,Gammacoronavirus sp.,2163008,15.0,11.0,37.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
655,Aalivirus apekidu,2169685,20.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
656,Pigeon aviadenovirus B,2169708,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41981.0,48.5,35.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
657,Psittacine aviadenovirus B,2169709,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40930.0,52.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
658,Gammapolyomavirus lonmaja,2169904,24.0,34.0,38.0,0.0,1.0,1.0,0.0,,0.0,0.0,5284.0,51.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
659,Megrivirus A,2170004,20.0,32.0,66.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10101.0,46.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
660,Megrivirus B,2170005,20.0,32.0,66.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9101.0,47.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
661,Megrivirus C,2170006,20.0,32.0,66.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9560.0,45.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
662,Megrivirus D,2170007,20.0,32.0,66.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8541.0,45.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
663,Megrivirus E,2170008,20.0,32.0,66.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9702.0,43.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
664,Orivirus A,2170052,20.0,32.0,76.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7037.0,50.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
665,Strigid herpesvirus 1,2171489,11.0,23.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
666,Antarctic picorna-like virus,2184269,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
667,Genomoviridae sp.,2202565,8.0,14.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2178.0,54.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
668,Hepacivirus sp.,2202624,0.0,13.0,52.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,8675.0,46.5,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
669,Avihepatovirus sp.,2212748,20.0,32.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
670,Avocet calicivirus,2212749,20.0,7.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
671,Avocet megrivirus,2212751,20.0,32.0,66.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
672,Avocet picornavirus,2212755,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
673,Duck calicivirus,2212758,20.0,7.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
674,Duck rhabdovirus,2212761,14.0,37.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
675,Ruddy turnstone calicivirus A,2212768,20.0,7.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
676,Ruddy turnstone calicivirus B,2212769,20.0,7.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
677,Ruddy turnstone rotavirus,2212774,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
678,Shelduck calicivirus,2212776,20.0,7.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
679,Shelduck picobirnavirus I,2212779,7.0,31.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
680,Shelduck picobirnavirus II,2212780,7.0,31.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
681,Shelduck picobirnavirus III,2212781,7.0,31.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
682,Shelduck rhabdovirus,2212784,14.0,37.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
683,Avocet picornavirus B,2212790,7.0,31.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
684,Aviadenovirus sp.,2217649,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40727.0,49.5,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
685,Gyrovirus 10,2218660,,3.0,49.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2195.0,51.5,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
686,Griffon vulture papillomavirus,2219104,28.0,25.0,34.0,0.0,1.0,1.0,0.0,,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
687,Sparrow deltacoronavirus,2219863,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25796.0,43.5,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
688,Duck adenovirus,2233537,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
689,Quail deltacoronavirus,2249315,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25881.0,42.0,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
690,Kammavanpettai virus,2282480,21.0,39.0,75.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
691,Eagle poxvirus,2304054,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
692,Balagodu virus,2304618,3.0,29.0,79.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,12557.0,36.5,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
693,Avipoxvirus clade C,2320697,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
694,Avian HDV-like agent,2364132,,18.0,30.0,1.0,1.0,0.0,1.0,,0.0,1.0,1706.0,51.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
695,Chapparvovirus sp.,2448649,19.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4181.0,34.5,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
696,Asio otus herpesvirus,2489501,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
697,Bubo bubo herpesvirus,2489502,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
698,Strix uralensis herpesvirus,2489503,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
699,Avulavirus sp.,2493083,14.0,26.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
700,Blue tit circovirus,2495901,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
701,Chimney swift adenovirus 1,2510842,23.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
702,Chicken circovirus SDWF,2518641,5.0,10.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1911.0,37.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
703,Adenoviridae sp.,2558248,23.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
704,Orthoreovirus sp.,2558258,21.0,41.0,84.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
705,Metaavulavirus falklandense,2560309,14.0,26.0,67.0,1.0,0.0,0.0,1.0,,0.0,1.0,15456.0,42.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
706,Bavaria virus,2560343,20.0,7.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8176.0,54.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
707,Nacovirus A,2560612,20.0,7.0,71.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7656.0,50.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
708,Poecivirus A,2560644,20.0,32.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7653.0,43.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
709,Alphachrysovirus shuangaoense,2560765,9.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
710,Duck papillomavirus 3,2562546,28.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7887.0,54.5,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
711,Gull papillomavirus 1,2562547,28.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7699.0,57.5,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
712,Gull papillomavirus 2,2562548,28.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
713,Gull papillomavirus 3,2562549,28.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
714,Kittiwake papillomavirus 1,2562550,28.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
715,Kittiwake papillomavirus 2,2562551,28.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7763.0,56.5,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
716,Kittiwake papillomavirus 3,2562552,28.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
717,Kittiwake papillomavirus 4,2562553,28.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
718,Kittiwake papillomavirus 5,2562554,28.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
719,Kittiwake papillomavirus 6,2562555,28.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
720,Kittiwake papillomavirus 7,2562556,28.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
721,Puffin papillomavirus 1,2562557,28.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7703.0,56.5,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
722,Pernambuco nodavirus,2565391,16.0,21.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
723,Ruddy turnstone astrovirus,2565393,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
724,Ruddy turnstone calicivirus,2565394,20.0,7.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
725,European roller astrovirus,2565896,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8417.0,40.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
726,Canada goose coronavirus,2569586,15.0,11.0,37.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,28539.0,38.5,16.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
727,Crucivirus sp.,2569971,,,,,,,,,,,6350.0,42.5,,,,,,,,,
728,Salmonella phage DaR-2019a,2571168,,,35.0,0.0,0.0,1.0,0.0,,0.0,0.0,89091.0,39.0,146.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
729,Salmonella phage DaR-2019b,2571169,,,35.0,0.0,0.0,1.0,0.0,,0.0,0.0,88966.0,39.0,148.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
730,Pingu picornavirus,2575832,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7601.0,49.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
731,Passerine astrovirus 1,2576226,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6745.0,47.5,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
732,Passerine astrovirus 2,2576227,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6864.0,43.5,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
